t [s]; current [mA]
0.0;1.007080078125
5e-05;1.007080078125
0.0001;0.0
0.00015;1.007080078125
0.0002;1.007080078125
0.00025;0.0
0.0003;1.007080078125
0.00035;5.035400390625
0.0004;103.729248046875
0.00045;221.5576171875
0.0005;328.30810546875
0.00055;424.98779296875
0.0006;515.625
0.00065;599.212646484375
0.0007;676.7578125
0.00075;747.25341796875
0.0008;814.727783203125
0.00085;878.173828125
0.0009;937.591552734375
0.00095;991.973876953125
0.001;1039.306640625
0.00105;1088.653564453125
0.0011;1133.97216796875
0.00115;1173.248291015625
0.0012;1214.53857421875
0.00125;1249.786376953125
0.0013;1281.005859375
0.00135;1316.253662109375
0.0014;1345.458984375
0.00145;1371.64306640625
0.0015;1400.848388671875
0.00155;1425.018310546875
0.0016;1446.1669921875
0.00165;1470.3369140625
0.0017;1486.4501953125
0.00175;1506.591796875
0.0018;1522.705078125
0.00185;1538.818359375
0.0019;1553.924560546875
0.00195;1567.0166015625
0.002;1580.108642578125
0.00205;1592.193603515625
0.0021;1602.264404296875
0.00215;1612.335205078125
0.0022;1621.39892578125
0.00225;1630.462646484375
0.0023;1639.5263671875
0.00235;1645.56884765625
0.0024;1654.632568359375
0.00245;1658.660888671875
0.0025;1664.703369140625
0.00255;1668.731689453125
0.0026;1673.76708984375
0.00265;1678.802490234375
0.0027;1683.837890625
0.00275;1686.859130859375
0.0028;1689.88037109375
0.00285;1688.873291015625
0.0029;1693.90869140625
0.00295;1694.915771484375
0.003;1696.929931640625
0.00305;1700.958251953125
0.0031;1698.944091796875
0.00315;1699.951171875
0.0032;1701.96533203125
0.00325;1702.972412109375
0.0033;1703.9794921875
0.00335;1705.99365234375
0.0034;1703.9794921875
0.00345;1704.986572265625
0.0035;1702.972412109375
0.00355;1704.986572265625
0.0036;1702.972412109375
0.00365;1704.986572265625
0.0037;1703.9794921875
0.00375;1697.93701171875
0.0038;1699.951171875
0.00385;1699.951171875
0.0039;1697.93701171875
0.00395;1695.9228515625
0.004;1696.929931640625
0.00405;1692.901611328125
0.0041;1693.90869140625
0.00415;1690.887451171875
0.0042;1692.901611328125
0.00425;1687.8662109375
0.0043;1685.85205078125
0.00435;1685.85205078125
0.0044;1684.844970703125
0.00445;1679.8095703125
0.0045;1680.816650390625
0.00455;1678.802490234375
0.0046;1677.79541015625
0.00465;1674.774169921875
0.0047;1672.760009765625
0.00475;1671.7529296875
0.0048;1668.731689453125
0.00485;1666.717529296875
0.0049;1664.703369140625
0.00495;1662.689208984375
0.005;1658.660888671875
0.00505;1658.660888671875
0.0051;1656.646728515625
0.00515;1654.632568359375
0.0052;1653.62548828125
0.00525;1649.59716796875
0.0053;1647.5830078125
0.00535;1647.5830078125
0.0054;1643.5546875
0.00545;1642.547607421875
0.0055;1641.54052734375
0.00555;1637.51220703125
0.0056;1636.505126953125
0.00565;1634.490966796875
0.0057;1631.4697265625
