t [s]; speed [encoder diff @ 1KHz]
0.0;0
0.001;0
0.002;0
0.003;1
0.004;0
0.005;1
0.006;0
0.007;1
0.008;0
0.009;1
0.01;0
0.011;1
0.012;0
0.013;1
0.014;0
0.015;1
0.016;1
0.017;0
0.018;1
0.019;0
0.02;1
0.021;1
0.022;1
0.023;0
0.024;0
0.025;1
0.026;1
0.027;1
0.028;1
0.029;0
0.03;0
0.031;2
0.032;0
0.033;1
0.034;1
0.035;0
0.036;1
0.037;1
0.038;1
0.039;1
0.04;0
0.041;1
0.042;1
0.043;1
0.044;1
0.045;0
0.046;1
0.047;1
0.048;1
0.049;1
0.05;0
0.051;2
0.052;0
0.053;1
0.054;1
0.055;1
0.056;1
0.057;1
0.058;1
0.059;0
0.06;2
0.061;1
0.062;1
0.063;0
0.064;1
0.065;1
0.066;1
0.067;1
0.068;1
0.069;1
0.07;1
0.071;1
0.072;1
0.073;1
0.074;1
0.075;1
0.076;1
0.077;1
0.078;2
0.079;0
0.08;2
0.081;1
0.082;1
0.083;1
0.084;1
0.085;1
0.086;1
0.087;1
0.088;1
0.089;2
0.09;1
0.091;1
0.092;1
0.093;1
0.094;2
0.095;1
0.096;1
0.097;1
0.098;1
0.099;2
0.1;1
0.101;1
0.102;1
0.103;1
0.104;2
0.105;1
0.106;1
0.107;2
0.108;1
0.109;1
0.11;1
0.111;2
0.112;1
0.113;1
0.114;2
0.115;1
0.116;1
0.117;2
0.118;1
0.119;1
0.12;2
0.121;1
0.122;1
0.123;2
0.124;1
0.125;2
0.126;1
0.127;1
0.128;2
0.129;1
0.13;1
0.131;2
0.132;2
0.133;1
0.134;1
0.135;2
0.136;1
0.137;2
0.138;1
0.139;2
0.14;2
0.141;1
0.142;1
0.143;2
0.144;2
0.145;1
0.146;1
0.147;2
0.148;2
0.149;1
0.15;2
0.151;1
0.152;2
0.153;2
0.154;1
0.155;2
0.156;1
0.157;2
0.158;2
0.159;1
0.16;2
0.161;1
0.162;2
0.163;2
0.164;1
0.165;2
0.166;2
0.167;2
0.168;1
0.169;2
0.17;2
0.171;1
0.172;2
0.173;1
0.174;2
0.175;2
0.176;2
0.177;2
0.178;2
0.179;1
0.18;2
0.181;2
0.182;1
0.183;2
0.184;2
0.185;2
0.186;2
0.187;2
0.188;1
0.189;2
0.19;2
0.191;2
0.192;2
0.193;1
0.194;2
0.195;2
0.196;2
0.197;2
0.198;2
0.199;2
0.2;2
0.201;2
0.202;1
0.203;2
0.204;2
0.205;2
0.206;2
0.207;2
0.208;2
0.209;2
0.21;1
0.211;3
0.212;2
0.213;2
0.214;1
0.215;3
0.216;1
0.217;3
0.218;1
0.219;3
0.22;1
0.221;3
0.222;2
0.223;2
0.224;2
0.225;2
0.226;2
0.227;2
0.228;2
0.229;2
0.23;2
0.231;2
0.232;2
0.233;2
0.234;2
0.235;3
0.236;2
0.237;2
0.238;2
0.239;2
0.24;2
0.241;2
0.242;2
0.243;2
0.244;3
0.245;2
0.246;2
0.247;2
0.248;3
0.249;2
0.25;2
0.251;2
0.252;2
0.253;2
0.254;2
0.255;3
0.256;2
0.257;2
0.258;2
0.259;3
0.26;2
0.261;2
0.262;2
0.263;2
0.264;3
0.265;2
0.266;3
0.267;2
0.268;2
0.269;2
0.27;2
0.271;3
0.272;2
0.273;3
0.274;2
0.275;2
0.276;3
0.277;2
0.278;3
0.279;2
0.28;2
0.281;2
0.282;3
0.283;2
0.284;3
0.285;2
0.286;2
0.287;2
0.288;3
0.289;3
0.29;2
0.291;2
0.292;2
0.293;3
0.294;3
0.295;2
0.296;3
0.297;2
0.298;3
0.299;2
0.3;2
0.301;3
0.302;2
0.303;3
0.304;2
0.305;3
0.306;2
0.307;3
0.308;2
0.309;3
0.31;2
0.311;3
0.312;2
0.313;3
0.314;3
0.315;2
0.316;2
0.317;3
0.318;3
0.319;2
0.32;3
0.321;2
0.322;3
0.323;3
0.324;2
0.325;3
0.326;2
0.327;3
0.328;3
0.329;2
0.33;3
0.331;3
0.332;2
0.333;2
0.334;3
0.335;3
0.336;2
0.337;3
0.338;3
0.339;2
0.34;4
0.341;2
0.342;2
0.343;4
0.344;2
0.345;3
0.346;3
0.347;2
0.348;3
0.349;3
0.35;2
0.351;3
0.352;3
0.353;3
0.354;2
0.355;3
0.356;3
0.357;3
0.358;2
0.359;3
0.36;3
0.361;2
0.362;4
0.363;2
0.364;3
0.365;3
0.366;3
0.367;3
0.368;2
0.369;3
0.37;3
0.371;3
0.372;3
0.373;3
0.374;2
0.375;3
0.376;3
0.377;3
0.378;2
0.379;4
0.38;3
0.381;2
0.382;3
0.383;3
0.384;3
0.385;3
0.386;3
0.387;3
0.388;3
0.389;2
0.39;4
0.391;2
0.392;3
0.393;3
0.394;3
0.395;3
0.396;3
0.397;3
0.398;3
0.399;3
0.4;3
0.401;3
0.402;3
0.403;3
0.404;3
0.405;3
0.406;3
0.407;3
0.408;3
0.409;3
0.41;3
0.411;3
0.412;3
0.413;3
0.414;3
0.415;3
0.416;3
0.417;3
0.418;4
0.419;2
0.42;3
0.421;3
0.422;4
0.423;3
0.424;3
0.425;3
0.426;3
0.427;3
0.428;3
0.429;3
0.43;3
0.431;4
0.432;3
0.433;3
0.434;3
0.435;3
0.436;3
0.437;3
0.438;4
0.439;2
0.44;4
0.441;3
0.442;3
0.443;3
0.444;3
0.445;4
0.446;3
0.447;3
0.448;3
0.449;3
0.45;4
0.451;3
0.452;3
0.453;3
0.454;3
0.455;4
0.456;3
0.457;3
0.458;3
0.459;3
0.46;4
0.461;3
0.462;3
0.463;4
0.464;3
0.465;3
0.466;4
0.467;3
0.468;3
0.469;3
0.47;3
0.471;4
0.472;3
0.473;4
0.474;3
0.475;3
0.476;3
0.477;4
0.478;3
0.479;4
0.48;3
0.481;3
0.482;3
0.483;4
0.484;3
0.485;4
0.486;3
0.487;3
0.488;3
0.489;4
0.49;4
0.491;3
0.492;3
0.493;4
0.494;3
0.495;3
0.496;4
0.497;4
0.498;3
0.499;3
0.5;4
0.501;3
0.502;3
0.503;4
0.504;3
0.505;4
0.506;3
0.507;4
0.508;3
0.509;3
0.51;4
0.511;4
0.512;3
0.513;3
0.514;4
0.515;3
0.516;4
0.517;3
0.518;4
0.519;4
0.52;3
0.521;3
0.522;4
0.523;3
0.524;4
0.525;3
0.526;4
0.527;4
0.528;3
0.529;4
0.53;3
0.531;4
0.532;3
0.533;4
0.534;3
0.535;4
0.536;4
0.537;3
0.538;4
0.539;3
0.54;4
0.541;3
0.542;4
0.543;3
0.544;4
0.545;4
0.546;4
0.547;3
0.548;4
0.549;3
0.55;4
0.551;4
0.552;3
0.553;4
0.554;3
0.555;4
0.556;4
0.557;4
0.558;3
0.559;4
0.56;3
0.561;4
0.562;4
0.563;4
0.564;3
0.565;4
0.566;3
0.567;4
0.568;4
0.569;4
0.57;3
0.571;4
0.572;4
0.573;3
0.574;4
0.575;4
0.576;4
0.577;3
0.578;4
0.579;4
0.58;3
0.581;4
0.582;4
0.583;4
0.584;4
0.585;4
0.586;3
0.587;4
0.588;4
0.589;3
0.59;4
0.591;4
0.592;4
0.593;4
0.594;3
0.595;4
0.596;4
0.597;4
0.598;3
0.599;4
0.6;4
0.601;4
0.602;4
0.603;4
0.604;4
0.605;4
0.606;3
0.607;4
0.608;4
0.609;4
0.61;4
0.611;3
0.612;4
0.613;4
0.614;4
0.615;4
0.616;4
0.617;4
0.618;4
0.619;4
0.62;3
0.621;4
0.622;4
0.623;4
0.624;4
0.625;4
0.626;4
0.627;3
0.628;4
0.629;4
0.63;4
0.631;4
0.632;4
0.633;4
0.634;4
0.635;4
0.636;4
0.637;4
0.638;4
0.639;4
0.64;4
0.641;4
0.642;4
0.643;4
0.644;4
0.645;4
0.646;4
0.647;4
0.648;4
0.649;4
0.65;4
0.651;4
0.652;4
0.653;4
0.654;4
0.655;4
0.656;4
0.657;4
0.658;4
0.659;4
0.66;4
0.661;4
0.662;4
0.663;4
0.664;4
0.665;4
0.666;4
0.667;4
0.668;4
0.669;4
0.67;4
0.671;4
0.672;4
0.673;5
0.674;4
0.675;4
0.676;4
0.677;4
0.678;4
0.679;5
0.68;4
0.681;4
0.682;4
0.683;4
0.684;4
0.685;4
0.686;4
0.687;4
0.688;5
0.689;4
0.69;4
0.691;4
0.692;4
0.693;4
0.694;5
0.695;4
0.696;4
0.697;4
0.698;4
0.699;4
0.7;4
0.701;4
0.702;5
0.703;4
0.704;4
0.705;4
0.706;5
0.707;4
0.708;4
0.709;4
0.71;4
0.711;5
0.712;4
0.713;4
0.714;4
0.715;5
0.716;4
0.717;4
0.718;4
0.719;4
0.72;4
0.721;5
0.722;4
0.723;4
0.724;5
0.725;4
0.726;4
0.727;4
0.728;5
0.729;4
0.73;4
0.731;5
0.732;4
0.733;4
0.734;4
0.735;4
0.736;5
0.737;4
0.738;4
0.739;5
0.74;4
0.741;4
0.742;5
0.743;4
0.744;5
0.745;4
0.746;4
0.747;4
0.748;4
0.749;5
0.75;4
0.751;5
0.752;4
0.753;4
0.754;5
0.755;4
0.756;4
0.757;5
0.758;4
0.759;4
0.76;5
0.761;4
0.762;5
0.763;4
0.764;4
0.765;5
0.766;4
0.767;5
0.768;4
0.769;4
0.77;4
0.771;5
0.772;5
0.773;4
0.774;4
0.775;5
0.776;4
0.777;5
0.778;4
0.779;4
0.78;5
0.781;4
0.782;5
0.783;4
0.784;5
0.785;4
0.786;5
0.787;4
0.788;4
0.789;5
0.79;4
0.791;5
0.792;4
0.793;5
0.794;4
0.795;5
0.796;4
0.797;4
0.798;5
0.799;5
0.8;4
0.801;5
0.802;4
0.803;5
0.804;4
0.805;4
0.806;5
0.807;5
0.808;4
0.809;5
0.81;4
0.811;5
0.812;4
0.813;4
0.814;5
0.815;5
0.816;4
0.817;5
0.818;5
0.819;4
0.82;4
0.821;5
0.822;5
0.823;4
0.824;5
0.825;5
0.826;4
0.827;4
0.828;5
0.829;5
0.83;4
0.831;5
0.832;5
0.833;4
0.834;4
0.835;5
0.836;5
0.837;4
0.838;5
0.839;5
0.84;4
0.841;5
0.842;5
0.843;4
0.844;5
0.845;5
0.846;4
0.847;4
0.848;5
0.849;5
0.85;4
0.851;5
0.852;5
0.853;4
0.854;5
0.855;5
0.856;4
0.857;5
0.858;5
0.859;4
0.86;5
0.861;5
0.862;5
0.863;4
0.864;5
0.865;4
0.866;5
0.867;5
0.868;5
0.869;5
0.87;4
0.871;5
0.872;4
0.873;5
0.874;5
0.875;5
0.876;4
0.877;5
0.878;5
0.879;5
0.88;4
0.881;5
0.882;5
0.883;4
0.884;5
0.885;5
0.886;5
0.887;4
0.888;5
0.889;5
0.89;5
0.891;5
0.892;4
0.893;5
0.894;5
0.895;5
0.896;4
0.897;5
0.898;5
0.899;5
0.9;4
0.901;5
0.902;5
0.903;5
0.904;5
0.905;5
0.906;4
0.907;5
0.908;5
0.909;5
0.91;5
0.911;4
0.912;5
0.913;5
0.914;5
0.915;5
0.916;5
0.917;4
0.918;5
0.919;5
0.92;5
0.921;5
0.922;4
0.923;5
0.924;5
0.925;5
0.926;5
0.927;5
0.928;5
0.929;5
0.93;5
0.931;4
0.932;5
0.933;5
0.934;5
0.935;5
0.936;4
0.937;6
0.938;5
0.939;5
0.94;4
0.941;5
0.942;5
0.943;5
0.944;5
0.945;5
0.946;5
0.947;5
0.948;5
0.949;4
0.95;6
0.951;4
0.952;6
0.953;4
0.954;5
0.955;5
0.956;5
0.957;5
0.958;5
0.959;5
0.96;5
0.961;5
0.962;5
0.963;5
0.964;5
0.965;5
0.966;5
0.967;5
0.968;5
0.969;5
0.97;4
0.971;6
0.972;5
0.973;5
0.974;4
0.975;6
0.976;5
0.977;5
0.978;4
0.979;6
0.98;5
0.981;5
0.982;4
0.983;6
0.984;5
0.985;5
0.986;4
0.987;6
0.988;5
0.989;5
0.99;5
0.991;5
0.992;5
0.993;5
0.994;5
0.995;5
0.996;5
0.997;5
0.998;5
0.999;5
1.0;6
1.001;4
1.002;5
1.003;6
1.004;5
1.005;4
1.006;6
1.007;5
1.008;5
1.009;5
1.01;5
1.011;5
1.012;5
1.013;5
1.014;5
1.015;6
1.016;4
1.017;6
1.018;5
1.019;5
1.02;5
1.021;5
1.022;5
1.023;5
1.024;6
1.025;5
1.026;5
1.027;5
1.028;5
1.029;5
1.03;5
1.031;5
1.032;6
1.033;5
1.034;4
1.035;6
1.036;5
1.037;5
1.038;5
1.039;6
1.04;5
1.041;5
1.042;5
1.043;5
1.044;5
1.045;6
1.046;5
1.047;5
1.048;5
1.049;5
1.05;6
1.051;4
1.052;6
1.053;5
1.054;5
1.055;5
1.056;6
1.057;5
1.058;5
1.059;5
1.06;6
1.061;4
1.062;6
1.063;5
1.064;5
1.065;5
1.066;6
1.067;5
1.068;5
1.069;5
1.07;6
1.071;5
1.072;5
1.073;5
1.074;5
1.075;6
1.076;5
1.077;5
1.078;6
1.079;5
1.08;5
1.081;5
1.082;6
1.083;5
1.084;5
1.085;5
1.086;6
1.087;5
1.088;5
1.089;6
1.09;4
1.091;6
1.092;5
1.093;5
1.094;6
1.095;5
1.096;5
1.097;6
1.098;5
1.099;5
1.1;5
1.101;6
1.102;5
1.103;6
1.104;5
1.105;5
1.106;5
1.107;6
1.108;5
1.109;5
1.11;6
1.111;5
1.112;5
1.113;6
1.114;5
1.115;5
1.116;6
1.117;5
1.118;5
1.119;6
1.12;5
1.121;5
1.122;6
1.123;5
1.124;5
1.125;6
1.126;5
1.127;6
1.128;5
1.129;5
1.13;6
1.131;5
1.132;5
1.133;6
1.134;5
1.135;5
1.136;6
1.137;5
1.138;5
1.139;6
1.14;6
1.141;5
1.142;5
1.143;6
1.144;5
1.145;5
1.146;6
1.147;5
1.148;5
1.149;6
1.15;5
1.151;6
1.152;5
1.153;6
1.154;5
1.155;5
1.156;6
1.157;5
1.158;5
1.159;6
1.16;6
1.161;5
1.162;5
1.163;6
1.164;5
1.165;6
1.166;5
1.167;6
1.168;5
1.169;5
1.17;6
1.171;6
1.172;5
1.173;5
1.174;6
1.175;5
1.176;6
1.177;5
1.178;6
1.179;5
1.18;5
1.181;6
1.182;6
1.183;5
1.184;6
1.185;5
1.186;5
1.187;6
1.188;5
1.189;6
1.19;6
1.191;5
1.192;5
1.193;6
1.194;6
1.195;5
1.196;5
1.197;6
1.198;6
1.199;5
1.2;5
1.201;6
1.202;6
1.203;5
1.204;5
1.205;6
1.206;6
1.207;5
1.208;6
1.209;5
1.21;6
1.211;5
1.212;6
1.213;5
1.214;6
1.215;6
1.216;5
1.217;5
1.218;6
1.219;6
1.22;5
1.221;6
1.222;5
1.223;6
1.224;6
1.225;5
1.226;6
1.227;5
1.228;6
1.229;6
1.23;5
1.231;6
1.232;5
1.233;6
1.234;5
1.235;6
1.236;6
1.237;5
1.238;6
1.239;5
1.24;6
1.241;6
1.242;5
1.243;6
1.244;5
1.245;6
1.246;6
1.247;5
1.248;6
1.249;6
1.25;5
1.251;6
1.252;5
1.253;6
1.254;6
1.255;5
1.256;6
1.257;5
1.258;6
1.259;6
1.26;5
1.261;6
1.262;5
1.263;6
1.264;6
1.265;6
1.266;5
1.267;6
1.268;6
1.269;5
1.27;6
1.271;6
