t [s]; current [mA]
0.0;0.0
5e-05;0.0
0.0001;0.0
0.00015;0.0
0.0002;0.0
0.00025;0.0
0.0003;0.0
0.00035;4.0283203125
0.0004;257.8125
0.00045;481.38427734375
0.0005;680.7861328125
0.00055;861.053466796875
0.0006;1028.228759765625
0.00065;1181.304931640625
0.0007;1324.310302734375
0.00075;1455.230712890625
0.0008;1576.080322265625
0.00085;1691.89453125
0.0009;1797.637939453125
0.00095;1901.3671875
0.001;1999.053955078125
0.00105;2091.705322265625
0.0011;2180.328369140625
0.00115;2261.90185546875
0.0012;2339.447021484375
0.00125;2410.94970703125
0.0013;2477.4169921875
0.00135;2540.863037109375
0.0014;2595.245361328125
0.00145;2645.599365234375
0.0015;2692.93212890625
0.00155;2732.208251953125
0.0016;2770.477294921875
0.00165;2802.703857421875
0.0017;2831.9091796875
0.00175;2851.043701171875
0.0018;2872.1923828125
0.00185;2887.298583984375
0.0019;2899.383544921875
0.00195;2908.447265625
0.002;2915.496826171875
0.00205;2916.50390625
0.0021;2915.496826171875
0.00215;2913.482666015625
0.0022;2911.468505859375
0.00225;2904.4189453125
0.0023;2895.355224609375
0.00235;2880.2490234375
0.0024;2873.199462890625
0.00245;2861.114501953125
0.0025;2843.994140625
0.00255;2825.86669921875
0.0026;2809.75341796875
0.00265;2789.61181640625
0.0027;2769.47021484375
0.00275;2749.32861328125
0.0028;2729.18701171875
0.00285;2706.024169921875
0.0029;2685.882568359375
0.00295;2662.7197265625
0.003;2638.5498046875
0.00305;2615.386962890625
0.0031;2594.23828125
0.00315;2573.089599609375
0.0032;2548.919677734375
0.00325;2526.763916015625
0.0033;2503.60107421875
0.00335;2483.45947265625
0.0034;2460.296630859375
0.00345;2440.155029296875
0.0035;2420.013427734375
0.00355;2397.857666015625
0.0036;2375.701904296875
0.00365;2357.574462890625
0.0037;2339.447021484375
0.00375;2318.29833984375
0.0038;2301.177978515625
0.00385;2281.036376953125
0.0039;2262.908935546875
0.00395;2245.78857421875
0.004;2228.668212890625
0.00405;2212.554931640625
0.0041;2196.441650390625
0.00415;2182.342529296875
0.0042;2167.236328125
0.00425;2154.144287109375
0.0043;2140.045166015625
0.00435;2126.953125
0.0044;2115.875244140625
0.00445;2103.790283203125
0.0045;2091.705322265625
0.00455;2083.648681640625
0.0046;2072.57080078125
0.00465;2059.478759765625
0.0047;2052.42919921875
0.00475;2043.365478515625
0.0048;2036.31591796875
0.00485;2025.238037109375
0.0049;2019.195556640625
0.00495;2010.1318359375
0.005;2003.082275390625
0.00505;1997.039794921875
0.0051;1992.00439453125
0.00515;1984.954833984375
0.0052;1979.91943359375
0.00525;1974.884033203125
0.0053;1967.83447265625
0.00535;1964.813232421875
0.0054;1959.77783203125
0.00545;1955.74951171875
0.0055;1952.728271484375
0.00555;1947.69287109375
0.0056;1944.671630859375
0.00565;1941.650390625
0.0057;1939.63623046875
0.00575;1937.6220703125
0.0058;1936.614990234375
0.00585;1933.59375
0.0059;1931.57958984375
0.00595;1928.558349609375
0.006;1929.5654296875
0.00605;1927.55126953125
0.0061;1928.558349609375
0.00615;1926.544189453125
0.0062;1927.55126953125
0.00625;1926.544189453125
0.0063;1929.5654296875
