t [s]; current [mA]
0.00635;1908.416748046875
0.0064;1908.416748046875
0.00645;1908.416748046875
0.0065;1910.430908203125
0.00655;1911.43798828125
0.0066;1914.459228515625
0.00665;1916.473388671875
0.0067;1916.473388671875
0.00675;1916.473388671875
0.0068;1921.5087890625
0.00685;1921.5087890625
0.0069;1926.544189453125
0.00695;1932.586669921875
0.007;1938.629150390625
0.00705;1944.671630859375
0.0071;1953.7353515625
0.00715;1956.756591796875
0.0072;1961.7919921875
0.00725;1968.841552734375
0.0073;1977.9052734375
0.00735;1989.990234375
0.0074;2005.096435546875
0.00745;2019.195556640625
0.0075;2029.266357421875
0.00755;2035.308837890625
0.0076;2043.365478515625
0.00765;2052.42919921875
0.0077;2060.48583984375
0.00775;2060.48583984375
0.0078;2065.521240234375
0.00785;2071.563720703125
0.0079;2074.5849609375
0.00795;2078.61328125
0.008;2080.62744140625
0.00805;2082.6416015625
0.0081;2085.662841796875
0.00815;2081.634521484375
0.0082;2073.577880859375
0.00825;2067.535400390625
0.0083;2070.556640625
0.00835;2068.54248046875
0.0084;2071.563720703125
0.00845;2081.634521484375
0.0085;2077.606201171875
0.00855;2047.393798828125
0.0086;2023.223876953125
0.00865;1832.8857421875
0.0087;1437.103271484375
0.00875;1367.61474609375
0.0088;1384.735107421875
0.00885;1409.912109375
0.0089;1437.103271484375
0.00895;1466.30859375
0.009;1493.499755859375
0.00905;1517.669677734375
0.0091;1540.83251953125
0.00915;1566.009521484375
0.0092;1586.151123046875
0.00925;1610.321044921875
0.0093;1630.462646484375
0.00935;1650.604248046875
0.0094;1669.73876953125
0.00945;1682.830810546875
0.0095;1701.96533203125
0.00955;1719.085693359375
0.0096;1732.177734375
0.00965;1748.291015625
0.0097;1762.39013671875
0.00975;1777.496337890625
0.0098;1791.595458984375
0.00985;1801.666259765625
0.0099;1814.75830078125
0.00995;1825.836181640625
0.01;1841.949462890625
0.01005;1850.006103515625
0.0101;1863.09814453125
0.01015;1874.176025390625
