t [s]; current [mA]
0.0;0.0
5e-05;0.0
0.0001;1.007080078125
0.00015;1.007080078125
0.0002;1.007080078125
0.00025;0.0
0.0003;1.007080078125
0.00035;6.04248046875
0.0004;167.17529296875
0.00045;272.918701171875
0.0005;370.60546875
0.00055;461.24267578125
0.0006;546.844482421875
0.00065;624.3896484375
0.0007;697.906494140625
0.00075;767.39501953125
0.0008;831.84814453125
0.00085;890.2587890625
0.0009;947.662353515625
0.00095;1000.030517578125
0.001;1049.37744140625
0.00105;1094.696044921875
0.0011;1135.986328125
0.00115;1176.26953125
0.0012;1210.51025390625
0.00125;1242.73681640625
0.0013;1270.93505859375
0.00135;1298.126220703125
0.0014;1321.2890625
0.00145;1346.466064453125
0.0015;1367.61474609375
0.00155;1387.75634765625
0.0016;1404.876708984375
0.00165;1421.9970703125
0.0017;1438.1103515625
0.00175;1453.216552734375
0.0018;1468.32275390625
0.00185;1481.414794921875
0.0019;1494.5068359375
0.00195;1505.584716796875
0.002;1517.669677734375
0.00205;1526.7333984375
0.0021;1534.7900390625
0.00215;1543.853759765625
0.0022;1549.896240234375
0.00225;1556.94580078125
0.0023;1560.97412109375
0.00235;1566.009521484375
0.0024;1571.044921875
0.00245;1575.0732421875
0.0025;1579.1015625
0.00255;1584.136962890625
0.0026;1586.151123046875
0.00265;1589.17236328125
0.0027;1590.179443359375
0.00275;1594.207763671875
0.0028;1596.221923828125
0.00285;1599.2431640625
0.0029;1601.25732421875
0.00295;1601.25732421875
0.003;1605.28564453125
0.00305;1608.306884765625
0.0031;1608.306884765625
0.00315;1611.328125
0.0032;1616.363525390625
0.00325;1615.3564453125
0.0033;1617.37060546875
0.00335;1618.377685546875
0.0034;1618.377685546875
0.00345;1621.39892578125
0.0035;1619.384765625
0.00355;1617.37060546875
0.0036;1620.391845703125
0.00365;1620.391845703125
0.0037;1620.391845703125
0.00375;1621.39892578125
0.0038;1619.384765625
0.00385;1621.39892578125
0.0039;1621.39892578125
0.00395;1622.406005859375
0.004;1622.406005859375
0.00405;1621.39892578125
0.0041;1618.377685546875
0.00415;1621.39892578125
0.0042;1620.391845703125
0.00425;1618.377685546875
0.0043;1619.384765625
0.00435;1620.391845703125
0.0044;1618.377685546875
0.00445;1620.391845703125
0.0045;1618.377685546875
0.00455;1616.363525390625
0.0046;1615.3564453125
0.00465;1614.349365234375
0.0047;1616.363525390625
0.00475;1614.349365234375
0.0048;1613.34228515625
0.00485;1613.34228515625
0.0049;1611.328125
0.00495;1610.321044921875
0.005;1610.321044921875
0.00505;1609.31396484375
0.0051;1606.292724609375
0.00515;1607.2998046875
0.0052;1605.28564453125
0.00525;1602.264404296875
0.0053;1601.25732421875
0.00535;1600.250244140625
0.0054;1599.2431640625
0.00545;1599.2431640625
0.0055;1597.22900390625
0.00555;1596.221923828125
0.0056;1594.207763671875
0.00565;1594.207763671875
0.0057;1591.1865234375
0.00575;1600.250244140625
0.0058;1600.250244140625
0.00585;1596.221923828125
0.0059;1595.21484375
0.00595;1592.193603515625
0.006;1593.20068359375
0.00605;1590.179443359375
0.0061;1588.165283203125
0.00615;1589.17236328125
0.0062;1590.179443359375
0.00625;1590.179443359375
0.0063;1592.193603515625
