t [s]; current [mA]
0.0;1.007080078125
5e-05;0.0
0.0001;0.0
0.00015;1.007080078125
0.0002;0.0
0.00025;0.0
0.0003;0.0
0.00035;1.007080078125
0.0004;0.0
0.00045;2.01416015625
0.0005;5.035400390625
0.00055;7.049560546875
0.0006;10.07080078125
0.00065;49.346923828125
0.0007;95.672607421875
0.00075;111.785888671875
0.0008;126.89208984375
0.00085;141.998291015625
0.0009;153.076171875
0.00095;165.1611328125
0.001;178.253173828125
0.00105;187.31689453125
0.0011;197.3876953125
0.00115;205.4443359375
0.0012;214.508056640625
0.00125;222.564697265625
0.0013;232.635498046875
0.00135;237.6708984375
0.0014;244.720458984375
0.00145;252.777099609375
0.0015;255.79833984375
0.00155;260.833740234375
0.0016;266.876220703125
0.00165;269.8974609375
0.0017;275.93994140625
0.00175;279.96826171875
0.0018;285.003662109375
0.00185;287.017822265625
0.0019;290.0390625
0.00195;293.060302734375
0.002;295.074462890625
0.00205;298.095703125
0.0021;301.116943359375
0.00215;304.13818359375
0.0022;305.145263671875
0.00225;307.159423828125
0.0023;309.173583984375
0.00235;310.1806640625
0.0024;312.19482421875
0.00245;311.187744140625
0.0025;314.208984375
0.00255;315.216064453125
0.0026;317.230224609375
0.00265;317.230224609375
0.0027;319.244384765625
0.00275;317.230224609375
0.0028;321.258544921875
0.00285;320.25146484375
0.0029;320.25146484375
0.00295;322.265625
0.003;321.258544921875
0.00305;323.272705078125
0.0031;322.265625
0.00315;322.265625
0.0032;324.27978515625
0.00325;324.27978515625
0.0033;324.27978515625
0.00335;323.272705078125
0.0034;324.27978515625
0.00345;323.272705078125
0.0035;325.286865234375
0.00355;325.286865234375
0.0036;324.27978515625
0.00365;323.272705078125
0.0037;324.27978515625
0.00375;324.27978515625
0.0038;323.272705078125
0.00385;323.272705078125
0.0039;323.272705078125
0.00395;323.272705078125
0.004;326.2939453125
0.00405;322.265625
0.0041;322.265625
0.00415;321.258544921875
0.0042;322.265625
0.00425;321.258544921875
0.0043;320.25146484375
0.00435;321.258544921875
0.0044;322.265625
0.00445;320.25146484375
0.0045;320.25146484375
0.00455;320.25146484375
0.0046;320.25146484375
0.00465;318.2373046875
0.0047;320.25146484375
0.00475;318.2373046875
0.0048;318.2373046875
0.00485;317.230224609375
0.0049;318.2373046875
0.00495;317.230224609375
0.005;313.201904296875
0.00505;315.216064453125
0.0051;317.230224609375
0.00515;314.208984375
0.0052;313.201904296875
0.00525;315.216064453125
0.0053;314.208984375
0.00535;313.201904296875
0.0054;312.19482421875
0.00545;311.187744140625
0.0055;312.19482421875
0.00555;311.187744140625
0.0056;310.1806640625
0.00565;310.1806640625
0.0057;310.1806640625
0.00575;308.16650390625
0.0058;310.1806640625
0.00585;310.1806640625
0.0059;309.173583984375
0.00595;311.187744140625
0.006;308.16650390625
0.00605;305.145263671875
0.0061;307.159423828125
0.00615;307.159423828125
0.0062;306.15234375
0.00625;306.15234375
0.0063;307.159423828125
0.00635;306.15234375
0.0064;304.13818359375
0.00645;304.13818359375
0.0065;304.13818359375
0.00655;303.131103515625
0.0066;304.13818359375
0.00665;304.13818359375
0.0067;304.13818359375
0.00675;302.1240234375
0.0068;301.116943359375
0.00685;302.1240234375
0.0069;302.1240234375
0.00695;301.116943359375
0.007;300.10986328125
0.00705;300.10986328125
0.0071;299.102783203125
0.00715;300.10986328125
0.0072;299.102783203125
0.00725;299.102783203125
0.0073;298.095703125
0.00735;298.095703125
0.0074;298.095703125
0.00745;297.088623046875
0.0075;297.088623046875
0.00755;296.08154296875
0.0076;299.102783203125
0.00765;297.088623046875
0.0077;297.088623046875
0.00775;294.0673828125
0.0078;298.095703125
0.00785;293.060302734375
0.0079;293.060302734375
0.00795;295.074462890625
0.008;294.0673828125
0.00805;293.060302734375
0.0081;293.060302734375
0.00815;290.0390625
0.0082;292.05322265625
0.00825;290.0390625
0.0083;292.05322265625
0.00835;291.046142578125
0.0084;290.0390625
0.00845;288.02490234375
0.0085;290.0390625
0.00855;290.0390625
0.0086;290.0390625
0.00865;289.031982421875
0.0087;290.0390625
0.00875;287.017822265625
0.0088;286.0107421875
0.00885;287.017822265625
0.0089;290.0390625
0.00895;287.017822265625
0.009;282.989501953125
0.00905;286.0107421875
0.0091;288.02490234375
0.00915;283.99658203125
0.0092;285.003662109375
0.00925;283.99658203125
0.0093;285.003662109375
0.00935;282.989501953125
0.0094;280.975341796875
0.00945;281.982421875
0.0095;282.989501953125
0.00955;280.975341796875
0.0096;281.982421875
0.00965;281.982421875
0.0097;280.975341796875
0.00975;281.982421875
0.0098;279.96826171875
0.00985;279.96826171875
0.0099;280.975341796875
0.00995;276.947021484375
0.01;278.961181640625
0.01005;279.96826171875
0.0101;278.961181640625
0.01015;277.9541015625
0.0102;278.961181640625
0.01025;277.9541015625
0.0103;277.9541015625
0.01035;277.9541015625
0.0104;278.961181640625
0.01045;276.947021484375
0.0105;276.947021484375
0.01055;277.9541015625
0.0106;276.947021484375
0.01065;276.947021484375
0.0107;277.9541015625
0.01075;274.932861328125
0.0108;274.932861328125
0.01085;275.93994140625
0.0109;275.93994140625
0.01095;275.93994140625
0.011;273.92578125
0.01105;273.92578125
0.0111;275.93994140625
0.01115;272.918701171875
0.0112;274.932861328125
0.01125;269.8974609375
0.0113;272.918701171875
0.01135;271.91162109375
0.0114;272.918701171875
0.01145;272.918701171875
0.0115;271.91162109375
0.01155;272.918701171875
0.0116;271.91162109375
0.01165;271.91162109375
0.0117;271.91162109375
0.01175;271.91162109375
0.0118;269.8974609375
0.01185;269.8974609375
0.0119;271.91162109375
0.01195;270.904541015625
0.012;268.890380859375
0.01205;270.904541015625
0.0121;268.890380859375
0.01215;270.904541015625
0.0122;269.8974609375
0.01225;268.890380859375
0.0123;269.8974609375
0.01235;269.8974609375
0.0124;268.890380859375
0.01245;266.876220703125
0.0125;269.8974609375
0.01255;265.869140625
0.0126;267.88330078125
0.01265;266.876220703125
0.0127;266.876220703125
0.01275;267.88330078125
0.0128;267.88330078125
0.01285;267.88330078125
0.0129;268.890380859375
0.01295;267.88330078125
0.013;267.88330078125
0.01305;266.876220703125
0.0131;265.869140625
0.01315;265.869140625
0.0132;266.876220703125
0.01325;265.869140625
0.0133;265.869140625
0.01335;264.862060546875
0.0134;265.869140625
0.01345;264.862060546875
0.0135;264.862060546875
0.01355;263.85498046875
0.0136;266.876220703125
0.01365;267.88330078125
0.0137;265.869140625
0.01375;262.847900390625
0.0138;263.85498046875
0.01385;261.8408203125
0.0139;263.85498046875
0.01395;263.85498046875
0.014;260.833740234375
0.01405;263.85498046875
0.0141;262.847900390625
0.01415;262.847900390625
0.0142;260.833740234375
0.01425;261.8408203125
0.0143;263.85498046875
0.01435;261.8408203125
0.0144;263.85498046875
0.01445;261.8408203125
0.0145;261.8408203125
0.01455;260.833740234375
0.0146;262.847900390625
0.01465;261.8408203125
0.0147;261.8408203125
0.01475;261.8408203125
0.0148;265.869140625
0.01485;258.819580078125
0.0149;260.833740234375
0.01495;260.833740234375
0.015;260.833740234375
0.01505;257.8125
0.0151;259.82666015625
0.01515;258.819580078125
0.0152;258.819580078125
0.01525;258.819580078125
0.0153;260.833740234375
0.01535;258.819580078125
0.0154;260.833740234375
0.01545;257.8125
0.0155;260.833740234375
0.01555;258.819580078125
0.0156;259.82666015625
0.01565;260.833740234375
0.0157;260.833740234375
0.01575;258.819580078125
0.0158;259.82666015625
0.01585;258.819580078125
0.0159;260.833740234375
0.01595;258.819580078125
0.016;259.82666015625
0.01605;258.819580078125
0.0161;258.819580078125
0.01615;258.819580078125
0.0162;255.79833984375
0.01625;256.805419921875
0.0163;260.833740234375
0.01635;256.805419921875
0.0164;258.819580078125
0.01645;258.819580078125
0.0165;257.8125
0.01655;256.805419921875
0.0166;257.8125
0.01665;257.8125
0.0167;258.819580078125
0.01675;257.8125
0.0168;256.805419921875
0.01685;257.8125
0.0169;257.8125
0.01695;257.8125
0.017;256.805419921875
0.01705;257.8125
0.0171;257.8125
0.01715;256.805419921875
0.0172;259.82666015625
0.01725;257.8125
0.0173;257.8125
0.01735;255.79833984375
0.0174;255.79833984375
0.01745;256.805419921875
0.0175;254.791259765625
0.01755;255.79833984375
0.0176;255.79833984375
0.01765;253.7841796875
0.0177;256.805419921875
0.01775;255.79833984375
0.0178;254.791259765625
0.01785;255.79833984375
0.0179;255.79833984375
0.01795;255.79833984375
0.018;255.79833984375
0.01805;255.79833984375
0.0181;255.79833984375
0.01815;254.791259765625
0.0182;255.79833984375
0.01825;255.79833984375
0.0183;256.805419921875
0.01835;254.791259765625
0.0184;256.805419921875
0.01845;254.791259765625
0.0185;254.791259765625
0.01855;253.7841796875
0.0186;254.791259765625
0.01865;254.791259765625
0.0187;254.791259765625
0.01875;256.805419921875
0.0188;256.805419921875
0.01885;255.79833984375
0.0189;255.79833984375
0.01895;254.791259765625
0.019;254.791259765625
0.01905;254.791259765625
0.0191;255.79833984375
0.01915;253.7841796875
0.0192;255.79833984375
0.01925;256.805419921875
0.0193;254.791259765625
0.01935;254.791259765625
0.0194;256.805419921875
0.01945;256.805419921875
0.0195;255.79833984375
0.01955;253.7841796875
0.0196;255.79833984375
0.01965;255.79833984375
0.0197;255.79833984375
0.01975;253.7841796875
0.0198;255.79833984375
0.01985;254.791259765625
0.0199;254.791259765625
0.01995;256.805419921875
0.02;254.791259765625
0.02005;251.77001953125
0.0201;253.7841796875
0.02015;254.791259765625
0.0202;254.791259765625
0.02025;252.777099609375
0.0203;253.7841796875
0.02035;252.777099609375
0.0204;252.777099609375
0.02045;252.777099609375
0.0205;254.791259765625
0.02055;252.777099609375
0.0206;252.777099609375
0.02065;252.777099609375
0.0207;252.777099609375
0.02075;251.77001953125
0.0208;252.777099609375
0.02085;253.7841796875
0.0209;252.777099609375
0.02095;253.7841796875
0.021;251.77001953125
0.02105;251.77001953125
0.0211;251.77001953125
0.02115;250.762939453125
0.0212;250.762939453125
0.02125;251.77001953125
0.0213;250.762939453125
0.02135;252.777099609375
0.0214;249.755859375
0.02145;249.755859375
0.0215;250.762939453125
0.02155;249.755859375
0.0216;250.762939453125
0.02165;249.755859375
0.0217;248.748779296875
0.02175;248.748779296875
0.0218;248.748779296875
0.02185;246.734619140625
0.0219;248.748779296875
0.02195;247.74169921875
0.022;246.734619140625
0.02205;246.734619140625
0.0221;245.7275390625
0.02215;246.734619140625
0.0222;245.7275390625
0.02225;246.734619140625
0.0223;245.7275390625
0.02235;245.7275390625
0.0224;246.734619140625
0.02245;245.7275390625
0.0225;249.755859375
0.02255;252.777099609375
0.0226;253.7841796875
0.02265;253.7841796875
0.0227;255.79833984375
0.02275;254.791259765625
0.0228;254.791259765625
0.02285;254.791259765625
0.0229;255.79833984375
0.02295;254.791259765625
0.023;253.7841796875
0.02305;254.791259765625
0.0231;255.79833984375
0.02315;255.79833984375
0.0232;256.805419921875
0.02325;256.805419921875
0.0233;255.79833984375
0.02335;255.79833984375
0.0234;254.791259765625
0.02345;253.7841796875
0.0235;252.777099609375
0.02355;251.77001953125
0.0236;253.7841796875
0.02365;252.777099609375
0.0237;254.791259765625
0.02375;255.79833984375
